Mensaje,Clasificación,,,,,,,,,,,,,,,,,
Sr. gustavo creo que puede hacer la diferencia. yo soy ingeniera me case y tengo una familia, mi esposo perdió el trabajo y ya tiene y yo ta,,,,,,,,,,,,,,,,,
Buenos días, yo creo que es un títere mas con todo respeto, porque su partido pacto con el pan y todos sabemos que pertenecen al mismo régim,,,,,,,,,,,,,,,,
Si en verdad se va a dar un cambio para Obregón, yo me propongo como asesor de Servicios públicos cuando seas presidente municipal, soy de O,,,,,,,,,,,,,,,,
Y que hará contra el  narcotráfico? Eso es lo que nos tiene con tantas muertes e inseguridad tanta droga que se vende por las calles??,,,,,,,,,,,,,,,,,,
Las personas perseverantes como Gustavo, nos muestran que no debemos rendirnos ante la avalancha de malas situaciones que se nos presentan, ,,,,,,,,,,,,,,,,
"Ahorra es cuando los ciudadanos de Obregón 
Tiene como darle un cambio
Al rumbo de cajeme,",,,,,,,,,,,,,,,,,,
Vamos a terminar lo que iniciamos hace 3 años   ! Gustavo eres el único que le puede ganar al PRI en Cajeme  !  #Puropadelante #MovimientoNa,,,,,,,,,,,,,,,,,,
Me dan risa los comentarios sr Almada! Yo solo estudie la secundaria! Y no tengo esa mente tan pobre! Alimentese de los buenos comentarios y,,,,,,,,,,,,,,,,,,
"Sin afan de ofender...
Señor Gustavo Almada Bórquez
Si ya no lo eligió él pueblo en otra ocasión, en que tiene esperanza que ahora si?,",,,,,,,,,,,,,,,,,,
Muchas gracias x visitarnos ayer en la beltrones en el partido de fútbol  y puro PADELANTE,,,,,,,,,,,,,,,,,,
Todo mi apoyo para Gustavo Almada. Porque Cajeme no se rinde, puro pa delante,,,,,,,,,,,,,,,,,
Si sr.Almada pero siempre tomado d la mano d Dios y El le dara la victoria. Bendiciones.,,,,,,,,,,,,,,,,,,
Excelente labor Cajeme mas unidos  mas participativo con Gustsvo Almada #puropadelante gente unanse a este gran proyecto pero bien Almados  ,,,,,,,,,,,,,,,,,,
Excelente!! Con todo mi apoyo para usted, gente de trabajo y de sensibilidad a los problemas que nos aquejan como Municipio...,,,,,,,,,,,,,,,,,
El que quiere hacer algo no necesita puestos políticos. Sólo nueve a la gente y se ven sus obras,,,,,,,,,,,,,,,,,,
Señores les recuerdo que para eso son los impuestos que pagamos y no solo se barre en tiempos electorales. Saludos,,,,,,,,,,,,,,,,,,
Es cuestion de cultura y cada uno de nosotros lo podemos hacer y seguir haciendolo. Muy buen ejemplo sr. Gustavo Almada esperemos que estas ,,,,,,,,,,,,,,,,,,
Cómo puedo participar en la limpieza ?,,,,,,,,,,,,,,,,,,
Ya k sea presidente lo queremos ver asi,,,,,,,,,,,,,,,,,,
Juntos se hace la limpieza, debemos tener mas cultura los ciudadanos y todo saldrá mejor muy bien señores mil felicitaciones dlb,,,,,,,,,,,,,,,,,
Ánimo y Adelante Sr. Gustavo Almada Dios les bendiga grandemente!!,,,,,,,,,,,,,,,,,,
Ven que bonito se ve todo limpio? No tiren basura por favor!!!!!,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DIOS LES BENDIGA.... POR SU  BUENA LABOR!!!!!,,,,,,,,,,,,,,,,,,
Ya hacía falta en Obregón que se organizaran,,,,,,,,,,,,,,,,,,
Muy bien sr. Presidente  Gustavo almada,,,,,,,,,,,,,,,,,,
Felicidades!!,,,,,,,,,,,,,,,,,,
Esta sí es una campaña !!!,,,,,,,,,,,,,,,,,,
Nuestro . Presidente,,,,,,,,,,,,,,,,,,
Les quedó muy bonito, muchas felicidades.. a los demás nos toca mantener así, limpio.. aunque hay mucha gente cochina.. Bien por usted señor,,,,,,,,,,,,,,,,
El querer es poder eso no cabe duda y nosotros como ciudadanos debemos aportar para que nuestro Obregón sea la misma ciudad de antes que se ,,,,,,,,,,,,,,,,,,
Ahora le toca a los vecinos mantener limpio y cuidar que otra gente no vaya a tirar su basura buen trabajo👏👏👏,,,,,,,,,,,,,,,,,,
Muy buena labor ciudadana Gustavo Almada mis felicitaciones a ud. Y a todo su equipo y a Uriel porsupuesto,,,,,,,,,,,,,,,,,,
Felicidades gran equipazo esto si sera un nuevo Cajeme,,,,,,,,,,,,,,,,,,
Excelente labor, ojala que las personas tomen conciencia y no tiren basura en las calles, felicidades Gustavo,,,,,,,,,,,,,,,,
Buenos días así se hace ..Gustavo ..se predica con el ejemplo. Bravoooo,,,,,,,,,,,,,,,,,,
Buen diaaaaa sr,,,,,,,,,,,,,,,,,,
"BENDICIONES!!! 
EXCELENTE EJEMPLO!!!!!,",,,,,,,,,,,,,,,,,,
Eso es todo demuestren ala gente que puede almada,,,,,,,,,,,,,,,,,,
Vamos ay siempre asiendo cosas buenas,,,,,,,,,,,,,,,,,,
Buenos dias nuestro Presidente,,,,,,,,,,,,,,,,,,
Mi admiración Señor,,,,,,,,,,,,,,,,,,
Fierrrro sr alamada,,,,,,,,,,,,,,,,,,
Ya te vi Manuel Scott,,,,,,,,,,,,,,,,,,
Bien consuegro!!,,,,,,,,,,,,,,,,,,
Muy muy bien.,,,,,,,,,,,,,,,,,,
En donde,,,,,,,,,,,,,,,,,,
Bendiciones, exelente ejemplo!!,,,,,,,,,,,,,,,,,
Buen día iniciando con buena actitud dlb,,,,,,,,,,,,,,,,,,
Muy buena cahuamanta excelente servivio y agradable convivencia# puropadelante,,,,,,,,,,,,,,,,,,
Pues así con esta cahuamanta Puro PaDelante siii siiñrr,,,,,,,,,,,,,,,,,,
No pues gracias por la invitación,,,,,,,,,,,,,,,,,,
Muchas gracias,,,,,,,,,,,,,,,,,,
Convicción,  si crees que puedes, lo vas a lograr. Tienes la confianza de muchos ciudadanos, hartos de lo mismo, y en ti ven una esperanza. ,,,,,,,,,,,,,,
No he tenido el gusto de conocerlo...Soy de Navojoa vivo en Agua Prieta pero tambien viví en Cd Obregón y me encanta esa ciudad y su gente y,,,,,,,,,,,,,,,,,,
Sr. Estuvo ud. Ayer en la casa del jarocho .  Mi voto para ud. Ojalá no nos defraude...,,,,,,,,,,,,,,,,,,
Actitud y perseverancia y con la firme idea de que vamos con todo!!! Ya basta de lo mismo por favor!!!!,,,,,,,,,,,,,,,,,,
Claro que si nuestra mejor eleccion vamos Adelante la unica esperanza es usted,,,,,,,,,,,,,,,,,,
Haci se habla Gustavo Almada los cuidadanos cajemenses kieren ver el cambio en ti saludos desde mi cd colonial alamos sonora bendiciones y p,,,,,,,,,,,,,,,,,,
"Buenos dias para todos las esperanzas estan.

 en usted vemos un precidente diferente,",,,,,,,,,,,,,,,,,,
"Bien ""Almadas"", las y los ciudadanos de Cajeme queremos ver un cambio.,",,,,,,,,,,,,,,,,,,
Sr. Almada  yo pienso que ya paso su opirtunidad   Usted gano la vez pasada y hata pasado lo que haya pasado  ya perdio du oportunidad  borr,,,,,,,,,,,,,,,,,,
Vamos por lo que quedo pendiente, animo Gustavo !!!,,,,,,,,,,,,,,,,,
Vamos para adelante juntos los cuidadanos lo lograremos,,,,,,,,,,,,,,,,,,
Ay k aser polvadera p k veann k va enseriio gustavo.y cn todoo🙋,,,,,,,,,,,,,,,,,,
A darle kon todo!!!!!!!! Mucho exitoooooo.,,,,,,,,,,,,,,,,,,
Hola Sr Gustavo aquí Almadisimos !!!! Todo pa  delante Dlb!!!,,,,,,,,,,,,,,,,,,
Puro pa delante viejon hoy eres el bno fieero viejon,,,,,,,,,,,,,,,,,,
Así es sigamos adelante,,,,,,,,,,,,,,,,,,
Y puro movimiento 🍊‼️,,,,,,,,,,,,,,,,,,
Claro ke siiiii #PUROPADELANTE,,,,,,,,,,,,,,,,,,
Usted es pariente delos almada de huatabampo,,,,,,,,,,,,,,,,,,
Con tal de sacar al PRI vamos con Almada,,,,,,,,,,,,,,,,,,
"GRANDES BENDICIONES, SR.  ALMADA!!!!!! 
LE DESEO LO MÁXIMO!!!!! 
IGUAL BENDICIONES PARA SU FAMILIA!!!!!!,",,,,,,,,,,,,,,,,,,
Puro para delante señor Gustavo Almada sabe que cuenta conmigo para su campaña,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Claro, es una preocupación que nuestros jóvenes tengan que emigrar de Cajeme en búsqueda de oportunidades.,,,,,,,,,,,,,,,,,
Tines toda la rason gusvo es precisa mente lo k queremos todos no agas coso a comentarios de corruptos estamo muy vien ni un boto.para el y ,,,,,,,,,,,,,,,,,,
Adicional a oportunidades de empleos que estos sean bien remunerados para que la gente incluyendo jóvenes sigan en cajeme. Saludos,,,,,,,,,,,,,,,,,,
Te amoo lluviaaa!!!,,,,,,,,,,,,,,,,,,
Estudian con Miles de sacrificios y no pueden encontrar una buen trabajo,,,,,,,,,,,,,,,,,,
Hacen falta oportunidades Gustavo......esperamos y contigo todo cambie.,,,,,,,,,,,,,,,,,,
Lo mejor es estar encontacto con la gente, saber  nuestro sentir y ver de cerca las necesidades del pueblo.. Adelante,,,,,,,,,,,,,,,,,
#PuroPaDelante, ya es hora de ver un cambio en Cajeme.,,,,,,,,,,,,,,,,,
QUE MI GRAN DIOS, BENDIGA A TODOS LOS CAJEMENSES!!!! Y POR SUPUESTO, AL SR. ALMADA ALMADA!!!!!!,,,,,,,,,,,,,,,,
Muy bien Don Gustavo, puro para delante! Saludos...,,,,,,,,,,,,,,,,,
Lo invito a taqueria los piratas JV Jalisco esquina con jesus Aguirre Col municipio libre,,,,,,,,,,,,,,,,,,
Puro PaDelante!! Es tiempo de cambiar cajeme!!,,,,,,,,,,,,,,,,,,
Los mejores tacos de Obregon lo de mis amigos Flores 💪 saludos.,,,,,,,,,,,,,,,,,,
Muy bien pero no invita nooooo!!!!,,,,,,,,,,,,,,,,,,
saludos Gustavo#PURO PADELANTE desde tijua na,,,,,,,,,,,,,,,,,,
Bien Almados 👍,,,,,,,,,,,,,,,,,,
Cuando biene a las haciendas,,,,,,,,,,,,,,,,,,
Bendiciones y puro hacia adelante!!! Eso es todo!!!!,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Puropadelante y mas padelante y lo que le sigue mucho exito,,,,,,,,,,,,,,,,,,
Eso es todo mi amigo Gustavo Almada # puro pa delante,,,,,,,,,,,,,,,,,,
Puro paDelente bendiciones,,,,,,,,,,,,,,,,,,
Paso a paso se construye.....éxito,,,,,,,,,,,,,,,,,,
"Saludos!!!
#PuroPaDelante,",,,,,,,,,,,,,,,,,,
#PuroPaDelante todo cajeme!!,,,,,,,,,,,,,,,,,,
Bendiciones !!!,,,,,,,,,,,,,,,,,,
PuroPaDelante,,,,,,,,,,,,,,,,,,
BENDICIONES !!!!!!!,,,,,,,,,,,,,,,,,,
Yo pence que era un comerciial de marlboro...,,,,,,,,,,,,,,,,,,
Patras ni pagarrar vuelo, PURO PADELANTE SR Gustavo Almada!,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Vamos a tener camisetas la próxima semana, les avisaremos. estén pendientes, saludos. 
Gracias por el apoyo!,",,,,,,,,,,,,,,,,,,
Quiero una camiseta y una banderita para mi casa.  El próximo presidente de cajeme Gustavo Almada,,,,,,,,,,,,,,,,,,
Yo quiero una azul para traer bien puesta la camiseta sr.Almada ha y también una banderita para mi casa xfa..Gracias...,,,,,,,,,,,,,,,,,,
Yo quiero una camiseta, mi voto de nueva cuenta para usted Gustavo Almada,,,,,,,,,,,,,,,,,
Porfas una camiseta y banderillas para mi familia, para apoyarte, ya para estar todos bien Almados.... Vamos con todo,,,,,,,,,,,,,,,,
Xq no contestan .. desde hace rato pregunte dnd puedo adquirir una bandera de movimiento ciudadano para ponerla en mi casa,,,,,,,,,,,,,,,,,,
Payo Chr los ALM/SRFS quieren una la llevará como bandera River Fenix,,,,,,,,,,,,,,,,,,
Qauiero camisa azul xxl y bandera para mi casa y carro inf 6441345116,,,,,,,,,,,,,,,,,,
yo kiero una,,,,,,,,,,,,,,,,,,
Hola Sr  Gustavo Almada Bórquez   yo quiero mi Camiseta para seguir apoyandolo y claro para mi esposo ok ?  😉,,,,,,,,,,,,,,,,,,
andamos desalmados sr gustavo,,,,,,,,,,,,,,,,,,
Yo quiero playera,,,,,,,,,,,,,,,,,,
Yo quiero una blanca con las alas 😊🤗,,,,,,,,,,,,,,,,,,
Vamos con gustavo almada,,,,,,,,,,,,,,,,,,
Y la mia,,,,,,,,,,,,,,,,,,
DIOS LE BENDIGA, EN CADA PASO, POR LA LUCHA!!!!!!!!!!,,,,,,,,,,,,,,,,
Yo quiero unaaaaa y obvio trabajar en el verdadero cambio💪💪💪,,,,,,,,,,,,,,,,,,
Ya chila la camiseta, ahí le encargó una azul,,,,,,,,,,,,,,,,,
Yo kiero una camiseta y claro ke bamos aganar,,,,,,,,,,,,,,,,,,
Yo kiero una camiseta gustavo.ay k jalar la carreta,,,,,,,,,,,,,,,,,,
Yo también quiero la mía señor ehh,,,,,,,,,,,,,,,,,,
Yo quiero una Sr Gustavo Almada,,,,,,,,,,,,,,,,,,
Quiero una,,,,,,,,,,,,,,,,,,
Quiero una...,,,,,,,,,,,,,,,,,,
Quiero una negra,,,,,,,,,,,,,,,,,,
Me gusta! Pero también debería platicar con las madre solteras trabajadoras! Las que trabajamos en una empresa o una maquila! Que estamos mu,,,,,,,,,,,,,,,,,,
Yo, confío en el Almada, se que si gana, será el mejor alcalde que a tenido Cajeme  y que muchos de los proyectos se van a llevar a cabo.,,,,,,,,,,,,,,,
Muchas gracias por escuchar a cada una de nosotras Sr. Gustavo Almada. Estoy segura que  entre todos y todas podemos generar cambios importa,,,,,,,,,,,,,,,,,,
Estamos con tigo nuevo amanecer keremos el cambio,,,,,,,,,,,,,,,,,,
Interesante tema .a mi en lo personal me a tocado convivir con personas que van de paso al sueño americano y de verdad sufren una barbaridad,,,,,,,,,,,,,,,,,,
Asi Jlo CE  contacta al equipo de Gustavo Almada..,,,,,,,,,,,,,,,,,,
Qué bien gracias a Dios!! Estamos con Sr. Gustavo Almada puro pa'Delante!! Si siiiñooorrr..!!,,,,,,,,,,,,,,,,,,
Puro Almada,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Todos los boto son para Gutavo.y.Varlos Carridosda,,,,,,,,,,,,,,,,,,
Pues siguele elpri estamos asta ladre de jodidos nos ROBAN todo con el precio de la gasolina,,,,,,,,,,,,,,,,,,
Ojala y le den la oportunidad de que aplique un buen plan de desarrollo y cambios a favor de la comunidad y el municipio.. Suerte y a seguir,,,,,,,,,,,,,,,,,,
Voy a poner MI voto por usted espero no  se olvidé del pueblo como comúnmente lo hacen otros políticos pero si así fuera la historia se enca,,,,,,,,,,,,,,,,,,
Muy buenos días..puro la delante..bendiciones y mucha suerte,,,,,,,,,,,,,,,,,,
Puro pa delante. Gustavo cajeme se merece saludos bendiciones,,,,,,,,,,,,,,,,,,
Igualmente Sr. Almada. Todo para delante.,,,,,,,,,,,,,,,,,,
Igual sr bien armados puro pa delante juntos lo vamos a lograr,,,,,,,,,,,,,,,,,,
Un gusto haberlo saludado el día de ayer en pueblo yaqui,,,,,,,,,,,,,,,,,,
Buenos días don Gustavo, andamos Almadisimos,,,,,,,,,,,,,,,,,
#PUROPADELANTE..Buenos Dias!!,,,,,,,,,,,,,,,,,,
Tambien listos padelante,,,,,,,,,,,,,,,,,,
Super Almados!!!,,,,,,,,,,,,,,,,,,
Claro que si, bien Almados!!,,,,,,,,,,,,,,,,,
Muuuuy rico Sr.Gustavo Almada, disfrute ese riquísimo rapado!!,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
BENDICIONES !!!!!!!!,,,,,,,,,,,,,,,,,,
Que se haga la reta jajaja, saludos,,,,,,,,,,,,,,,,,
Reta reta!!!,,,,,,,,,,,,,,,,,,
Que paso en el yaqui ?,,,,,,,,,,,,,,,,,,
tengo una estufa en buenas condiciines con horno gustavo, para esa gente que lo necesita esta a la orden, te felicito por tu forma humana de,,,,,,,,,,,,,,,,
Eso es todo amigo hay ke apoyarnos unos a otros ....yo se ke en su gobierno si abra  apoyo y honestidad y humanidad,,,,,,,,,,,,,,,,,,
Claro que si cuenta con nuestro apoyo.. Saludos ... Vamos con todo... Puropadelante,,,,,,,,,,,,,,,,,,
Mañana paso a las oficinas y cuenten con mi apoyo y el de mi familia,,,,,,,,,,,,,,,,,,
Te veo !!,,,,,,,,,,,,,,,,,,
Algún número o número de cuenta para contactarlos y ayudar,,,,,,,,,,,,,,,,,,
Soy Movimiento Ciudadano!!!,,,,,,,,,,,,,,,,,,
Lo mejor de lo mejor un abrazo,,,,,,,,,,,,,,,,,,
Gracias por apoyar buen labor,,,,,,,,,,,,,,,,,,
Vamos ay,,,,,,,,,,,,,,,,,,
En horabuenta Gustavo Almada saludos y bendiciones,,,,,,,,,,,,,,,,,,
Claro que si puro palante,,,,,,,,,,,,,,,,,,
Les deseamos toda la suerte y Apoyo !!,,,,,,,,,,,,,,,,,,
Exito mi Gustavo,,,,,,,,,,,,,,,,,,
Cuenten con nuestro apoyo,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
Ya,,,,,,,,,,,,,,,,,,
No se ve,,,,,,,,,,,,,,,,,,
"DIOS LE BENDIGA SR. ALMADA!!!!!!! 
POR SOLIDARIZARSE CON LA GENTE DE LAS COMUNIDADES CON NECESIDADES PRIORITARIAS!!!!!!!,",,,,,,,,,,,,,,,,,,
Requerimos un cambio urgente Cajeme no puede ni merece estar en las condiciones en las que está,  Exito Gustavo Almada vamos con todo,,,,,,,,,,,,,,,,,
Puro para adelante Gustavo el triunfo ya es nuestro mucho éxito,,,,,,,,,,,,,,,,,,
Requerimos se vaya la corrupción, que llegue un cambio positivo que la violencia se cambie por confianza y ya no haya miedo de estar en esta,,,,,,,,,,,,,,,,,
Esta es de nosotros y a ora no nos la kitan el triunfo ba acer aplastante puro padelante,,,,,,,,,,,,,,,,,,
K tenga suerte don gustabo pero le boy apexir un fabor cheke a la jente k esta al rededor de usted en su campaña,,,,,,,,,,,,,,,,,,
Claro que por supuesto desde luego que si confiamos en usted todo para adelante,,,,,,,,,,,,,,,,,,
"Asi es, la ciudadania es quien debe gobernar, por eso estamos con Ud. Sr Gustavo Almada. 
#PuroPaDelante,",,,,,,,,,,,,,,,,,,
Este es el principio del fin de los partidos corruptos puro pa delante sr. Gustavo,,,,,,,,,,,,,,,,,,
Muy bien don Gustavo todo pa delante y claro q tiene mi voto arriba don Gustavo Almada,,,,,,,,,,,,,,,,,,
"BENDICIONES!!!
SR. ALMADA!!!!!!,",,,,,,,,,,,,,,,,,,
Así es sr  Gustavo  ay que  seguir para  adelante,,,,,,,,,,,,,,,,,,
Vtaremos por gustavo almada asi de simple,,,,,,,,,,,,,,,,,,
El nuevo amanecer puro movimiento naranja,,,,,,,,,,,,,,,,,,
Aaaaanimoo!!!!,,,,,,,,,,,,,,,,,,
Estamos con tigo nuevo amanecer,,,,,,,,,,,,,,,,,,
M.a.s. dara la batalla,,,,,,,,,,,,,,,,,,
Todos dicen lo mismo,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Asi es señor Gustavo Almada puro padelante,,,,,,,,,,,,,,,,,,
Todos tenemos derecho a soñar pero hoy no tendrás el apoyo de ya sabes quien,,,,,,,,,,,,,,,,,,
Mucho éxito!!!,,,,,,,,,,,,,,,,,,
https://youtu.be/jT1BC_Iu-Zo,,,,,,,,,,,,,,,,,,
Cajeme va a tener seguridad cuando combatan la corrupción al interior de la secretarias de seguridad publica en todos los niveles eso de tra,,,,,,,,,,,,,,,,,,
Asi es sr. Gustavo Almada, sabemos los ciudadanos que su gobierno sera un gran impulsor de oportunidades para combatir la delincuencia que v,,,,,,,,,,,,,,,,,
Yo insisto en lo mismo que años atrás, el delito realmente grave es el robo y no esta siendo atendido por que el homicidio doloso lo opaca y,,,,,,,,,,,,,,,,,
Ante un problema tan grande y serio, las soluciones o acciones para combatirlo deberían ser acordes, pero en éste caso de crimen organizado,,,,,,,,,,,,,,,,
Vergüenza deberían de tener eso es desde el primer día que entraron lo debieron de haber echo o no se dieron cuenta como les dejaron el ranc,,,,,,,,,,,,,,,,,,
"Eso nadamas nos afecta a los ciudadanos ya que desde los municipales hasta la gendarmeria te piden ""PALS COCAS"" sin haber cometido delito al,",,,,,,,,,,,,,,,,,,
Por favor!!, quién puede creerles, si hablamos simplemente de Feminicidios, ya van 8 al día de hoy en Cajeme.,,,,,,,,,,,,,,,
solo un nuevo gobierno con otra vision como lo es Gustavo puede hacer ese cambio.,,,,,,,,,,,,,,,,,,
Bueno...hay que preguntarles la seguridad de quién ?.....habrán aumentado el número de guaruras ?,,,,,,,,,,,,,,,,,,
La vdd es pura faramalla siempre van al lado contrario  de los delincuentes, hicieron tanto alarde cuando agarraron a los sicarios del asesi,,,,,,,,,,,,,,,,,
el sector salud es una nesecidad  y debe de ser gratuita en todo su esplendor para todo ciudadano sin andar aciendo tramites de seguro popul,,,,,,,,,,,,,,,,,,
Asi es sr Gustavo Almada usted si sabe,,,,,,,,,,,,,,,,,,
Esta en lo cierto hay ke traer oportunidades para los jovenes de estudios o becas y mas oportunidad de trabajos,,,,,,,,,,,,,,,,,,
Ya queremos que dejen de mentir y se vayan,,,,,,,,,,,,,,,,,,
Lo bueno que ya se van,,,,,,,,,,,,,,,,,,
Porfavor!!!!,,,,,,,,,,,,,,,,,,
Claro k si sr Gustavo así debe de ser darles oportunidades de trabajo.,,,,,,,,,,,,,,,,,,
BENDICIONES!!!!!,,,,,,,,,,,,,,,,,,
Ojala y ahora si gane!!! Soy de los muchos que nos fuimos de Obregon pero algun dia regresare y ojala usted gane. Y cambie la ciudad ! Animo,,,,,,,,,,,,,,,,,,
Enhorabuena vamos seguros una vez más al triunfo hoy no nos lo roban,,,,,,,,,,,,,,,,,,
Y muchos que no pudimos estar pero estábamos con usted también.,,,,,,,,,,,,,,,,,,
Felicidades todo marcha viento en popa    jajai puro pa delante que lo lograremos si sr,,,,,,,,,,,,,,,,,,
Asi es Exactamente!! Puro PaDelante si siñooorr..!!!!!!,,,,,,,,,,,,,,,,,,
Tiene mi voto señor Almada eso no lo dude!,,,,,,,,,,,,,,,,,,
Eso es coma Almada puro pa' Delante exito,,,,,,,,,,,,,,,,,,
Yo botare por ty cuenta con eso,,,,,,,,,,,,,,,,,,
PURO PA DELANTE ....,,,,,,,,,,,,,,,,,,
PURO PA'LANTE SR. GUSTAVO,,,,,,,,,,,,,,,,,,
Yo lo acompaño desde mi casa 👍 .,,,,,,,,,,,,,,,,,,
Yp ni sali,,,,,,,,,,,,,,,,,,
Eso es todo compass puro obregon,,,,,,,,,,,,,,,,,,
Compañeros ciudadanos coincido con ustedes, Gustavo Almada es la persona que necesitamos como alcalde de Cajeme. Los invito a que demos a co,,,,,,,,,,,,,,,,,
Ojala y ahora si gane en estas elecciones y tenga la oportunidad de cambiar a cajeme como debe ser.. Y también pueda trbjar de cerca con la ,,,,,,,,,,,,,,,,,,
Éxito señor !! Y cuente con mi voto y el de mi familia , espero que usted gané,,,,,,,,,,,,,,,,,
Gustavo,muchas felicidades, espero,que seas el alcalde de CAJEME...!!!,,,,,,,,,,,,,,,
A  ganar se ha dicho,  suerte!!!! quiero mi camiseta y pulsera para andar bien Almada!!! 👍👍👍,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Mis favoritos y muy competentes para cambiar cajeme,,,,,,,,,,,,,,,,,,
GAP18MC,,,,,,,,,,,,,,,,,,
Puro para Adelante !!,,,,,,,,,,,,,,,,,,
Qué padre!! 🤗 muy bien,,,,,,,,,,,,,,,,,,
Ahora si....vamos con todo!!!...Bien Almados. #PuroPaDelante,,,,,,,,,,,,,,,,,,
SR GUSTAVO ALMADA ETIQUETE EL REPORTE DE MEDIOS OBSON DE UNA SRA QUE URGE TENGA UN CUARTO LE PODREMOS AYUDAR??? EN LO PERSONAL PODRÉ DESDE A,,,,,,,,,,,,,,,,,,
Excelente decisión para confiables NUESTRO MUNICIPIO, pero RECUERDEN,  Que será un paquetazo y no hay pretextos para no cumplir sus promesas,,,,,,,,,,,,,,,,
Felicidades Gustavo, es el momento! A enfrentarlo con todo!,,,,,,,,,,,,,,,,,
Dtb Gustavo. Dios te guíe y te acompañe en este proyecto que hoy inicias. Estamos contigo orando y acompañandote en esta lucha,,,,,,,,,,,,,,,,,,
